Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40522340,10/11/2018 14:45,10/12/2018 8:42,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,2235 FREDRICK DOUGLAS BOULEVARD,FREDRICK DOUGLAS BOULEVARD,W 120 ST,W 121 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:42,10 MANHATTAN,MANHATTAN,997184,233402,Unspecified,MANHATTAN,,,,,,,,40.80730097,-73.95327895,"(40.80730096985473, -73.95327894988765)"
40522235,10/11/2018 11:11,10/12/2018 9:11,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10473,135 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BANES CT,DUNE CT,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 9:11,09 BRONX,BRONX,1024336,233964,Unspecified,BRONX,,,,,,,,40.80876203,-73.85519546,"(40.80876203202773, -73.85519546222817)"
40522124,10/11/2018 5:03,10/12/2018 8:23,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10016,115 EAST   34 STREET,EAST   34 STREET,PARK AVE,LEXINGTON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:23,06 MANHATTAN,MANHATTAN,989639,211342,Unspecified,MANHATTAN,,,,,,,,40.74675991,-73.98055119,"(40.746759905665144, -73.98055118875477)"
40522031,10/11/2018 12:36,10/17/2018 7:02,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,11210,3801 AVENUE L,AVENUE L,E 38 ST,FLATBUSH AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,10/17/2018 7:02,18 BROOKLYN,BROOKLYN,1001396,166205,Unspecified,BROOKLYN,,,,,,,,40.62285423,-73.93823524,"(40.62285422523477, -73.93823524058126)"
40521859,10/11/2018 9:45,10/12/2018 8:32,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,651 EAST   14 STREET,EAST   14 STREET,AVENUE B,AVENUE C,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:32,06 MANHATTAN,MANHATTAN,990892,204731,Unspecified,MANHATTAN,,,,,,,,40.7286135,-73.97603566,"(40.72861349551358, -73.97603566003116)"
40521493,10/11/2018 19:01,10/12/2018 8:48,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10009,166 AVENUE B,AVENUE B,E 10 ST,E 11 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:48,03 MANHATTAN,MANHATTAN,989877,204205,Unspecified,MANHATTAN,,,,,,,,40.72717046,-73.97969822,"(40.72717045772344, -73.97969822033606)"
40521492,10/11/2018 12:49,10/12/2018 9:38,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10027,371 WEST  120 STREET,WEST  120 STREET,MANHATTAN AVE,MORNINGSIDE AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 9:38,10 MANHATTAN,MANHATTAN,996500,233633,Unspecified,MANHATTAN,,,,,,,,40.80793598,-73.95574932,"(40.80793597577845, -73.9557493179648)"
40521201,10/11/2018 20:58,10/12/2018 8:52,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,10465,3055 RANDALL AVENUE,RANDALL AVENUE,HOLLYWOOD AVE,THROGS NECK EXPY,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 8:52,10 BRONX,BRONX,1034341,240813,Unspecified,BRONX,,,,,,,,40.82750951,-73.8190029,"(40.82750951179734, -73.81900290332523)"
40520466,10/11/2018 20:16,10/19/2018 8:03,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10027,2300 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,W 123 ST,W 124 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/19/2018 8:03,10 MANHATTAN,MANHATTAN,997575,234093,Unspecified,MANHATTAN,,,,,,,,40.80919699,-73.95186518,"(40.80919699233655, -73.95186518251381)"
40520277,10/11/2018 21:27,10/12/2018 8:53,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10461,2931 WATERBURY AVENUE,WATERBURY AVENUE,EDISON AVE,GILLESPIE AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 8:53,10 BRONX,BRONX,1031244,244569,Unspecified,BRONX,,,,,,,,40.83783565,-73.83016715,"(40.83783565255496, -73.83016715477869)"
40519990,10/11/2018 6:21,10/12/2018 8:25,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,117 WEST WEST  123 STREET,WEST  123 STREET,LENOX AVE,7 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:25,10 MANHATTAN,MANHATTAN,998865,233223,Unspecified,MANHATTAN,,,,,,,,40.80680704,-73.94720712,"(40.806807043588385, -73.94720712159923)"
40519645,10/11/2018 10:17,10/12/2018 8:36,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10009,285 AVENUE C,AVENUE C,E 16 ST,FDR DRIVE EXIT 7 NB,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:36,06 MANHATTAN,MANHATTAN,991298,205290,Unspecified,MANHATTAN,,,,,,,,40.7301475,-73.97457023,"(40.73014749966145, -73.97457022636361)"
40519318,10/11/2018 14:55,10/12/2018 8:43,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10016,222 EAST   34 STREET,EAST   34 STREET,QUEENS MIDTOWN TUNNEL EXIT,2 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:43,06 MANHATTAN,MANHATTAN,990597,210803,Unspecified,MANHATTAN,,,,,,,,40.74527985,-73.97709429,"(40.74527985017423, -73.97709429151544)"
40518931,10/11/2018 13:28,10/19/2018 8:04,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10035,1485 5 AVENUE,5 AVENUE,E 119 ST,E 120 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/19/2018 8:04,11 MANHATTAN,MANHATTAN,999494,231740,Unspecified,MANHATTAN,,,,,,,,40.80273555,-73.94493839,"(40.802735554556925, -73.94493839087735)"
40518928,10/11/2018 16:24,10/12/2018 8:45,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10468,18 EAST  198 STREET,EAST  198 STREET,JEROME AVE,CRESTON AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 8:45,07 BRONX,BRONX,1013908,256700,Unspecified,BRONX,,,,,,,,40.87120684,-73.89276443,"(40.871206842739696, -73.89276442848653)"
40518803,10/11/2018 22:57,10/12/2018 8:55,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10463,3811 SEDGEWICK AVENUE,SEDGEWICK AVENUE,W 238 ST,STEVENSON PL,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 8:55,08 BRONX,BRONX,1013004,260683,Unspecified,BRONX,,,,,,,,40.88214193,-73.89601596,"(40.88214193082569, -73.89601595738002)"
40518802,10/11/2018 10:56,10/12/2018 9:15,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10459,1226 PROSPECT AVENUE,PROSPECT AVENUE,E 167 ST,HOME ST,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 9:15,02 BRONX,BRONX,1012321,240583,Unspecified,BRONX,,,,,,,,40.82697566,-73.89857008,"(40.82697565985153, -73.89857007731098)"
40518424,10/11/2018 9:30,10/12/2018 9:26,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10468,5 FORDHAM HILL OVAL,FORDHAM HILL OVAL,BEND,BEND,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 9:26,07 BRONX,BRONX,1009852,254442,Unspecified,BRONX,,,,,,,,40.86502202,-73.90743848,"(40.86502202048929, -73.90743847895622)"
40518251,10/11/2018 23:18,10/12/2018 8:56,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10026,229 WEST  116 STREET,WEST  116 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:56,10 MANHATTAN,MANHATTAN,997025,232123,Unspecified,MANHATTAN,,,,,,,,40.8037907,-73.95385573,"(40.80379069901888, -73.9538557338545)"
40518250,10/11/2018 8:18,10/12/2018 8:30,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,442 EAST   20 STREET,EAST   20 STREET,BEND,20 STREET LOOP,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:30,06 MANHATTAN,MANHATTAN,990277,206760,Unspecified,MANHATTAN,,,,,,,,40.73418304,-73.97825276,"(40.734183043373505, -73.9782527628533)"
40517853,10/11/2018 17:55,10/12/2018 8:47,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10001,365 WEST   28 STREET,WEST   28 STREET,BEND,9 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:47,04 MANHATTAN,MANHATTAN,984681,212340,Unspecified,MANHATTAN,,,,,,,,40.7495008,-73.99844446,"(40.749500796117886, -73.9984444641935)"
40517400,10/11/2018 13:48,10/12/2018 8:39,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10035,7 EAST  129 STREET,EAST  129 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:39,11 MANHATTAN,MANHATTAN,1000871,233943,Unspecified,MANHATTAN,,,,,,,,40.8087797,-73.93995919,"(40.80877969804391, -73.93995918890828)"
40517311,10/11/2018 7:51,10/12/2018 8:27,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10016,201 EAST   28 STREET,EAST   28 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:27,06 MANHATTAN,MANHATTAN,989594,209579,Unspecified,MANHATTAN,,,,,,,,40.74192094,-73.98071499,"(40.741920939027125, -73.98071499376925)"
40516922,10/11/2018 13:59,10/12/2018 8:40,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10009,410 EAST   20 STREET,EAST   20 STREET,BEND,20 STREET LOOP,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:40,06 MANHATTAN,MANHATTAN,990046,206896,Unspecified,MANHATTAN,,,,,,,,40.73455648,-73.97908616,"(40.734556484262875, -73.9790861634595)"
40516589,10/11/2018 18:07,10/19/2018 8:03,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10465,17 THROGS NECK BOULEVARD,THROGS NECK BOULEVARD,CHAFFEE AVE,SCHURZ AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/19/2018 8:03,10 BRONX,BRONX,1036421,236276,Unspecified,BRONX,,,,,,,,40.81504472,-73.8115224,"(40.81504471629311, -73.81152239916631)"
40516391,10/11/2018 23:34,10/12/2018 8:58,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10003,305 2 AVENUE,2 AVENUE,E 17 ST,E 18 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:58,06 MANHATTAN,MANHATTAN,988875,206909,Unspecified,MANHATTAN,,,,,,,,40.73459286,-73.9833115,"(40.734592855909646, -73.98331149991988)"
40516364,10/11/2018 19:30,10/12/2018 8:50,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10026,15 WEST  119 STREET,WEST  119 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:50,10 MANHATTAN,MANHATTAN,999267,231802,Unspecified,MANHATTAN,,,,,,,,40.80290612,-73.94575818,"(40.80290611623922, -73.94575818018147)"
40516266,10/11/2018 8:10,10/12/2018 8:28,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10010,441 EAST   20 STREET,EAST   20 STREET,BEND,20 STREET LOOP,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:28,06 MANHATTAN,MANHATTAN,990268,206771,Unspecified,MANHATTAN,,,,,,,,40.73421324,-73.97828523,"(40.73421324179261, -73.97828522773226)"
40515998,10/11/2018 10:04,,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10463,75 WEST  238 STREET,WEST  238 STREET,SEDGWICK AVE,CANNON PL,,,ADDRESS,BRONX,,N/A,Open,,,08 BRONX,BRONX,1012720,260719,Unspecified,BRONX,,,,,,,,40.88224166,-73.89704284,"(40.88224166027837, -73.89704284202035)"
40515645,10/11/2018 12:57,10/12/2018 9:41,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10465,14 BEECH PLACE,BEECH PLACE,POPLAR AVE,DEAD END,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 9:41,10 BRONX,BRONX,1037811,235265,Unspecified,BRONX,,,,,,,,40.81226149,-73.80650885,"(40.81226149201277, -73.80650884523662)"
40514670,10/10/2018 11:25,10/12/2018 8:06,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,114 WEST  131 STREET,WEST  131 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:06,10 MANHATTAN,MANHATTAN,999902,235067,Unspecified,MANHATTAN,,,,,,,,40.81186654,-73.94345693,"(40.81186653521025, -73.94345693079444)"
40514669,10/10/2018 14:10,10/11/2018 10:10,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10036,530 WEST   45 STREET,WEST   45 STREET,AMTRAK-NORTHEAST LINE,11 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/11/2018 10:10,04 MANHATTAN,MANHATTAN,985504,216942,Unspecified,MANHATTAN,,,,,,,,40.76213204,-73.99547329,"(40.762132035879276, -73.99547329041934)"
40514452,10/10/2018 11:01,10/10/2018 13:59,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11414,87-10 149 AVENUE,149 AVENUE,85 ST,S CONDUIT AVE,,,ADDRESS,Howard Beach,,N/A,Closed,,10/10/2018 13:59,10 QUEENS,QUEENS,1026413,183352,Unspecified,QUEENS,,,,,,,,40.66983523,-73.84800986,"(40.669835227018645, -73.8480098575509)"
40514359,10/10/2018 11:26,10/12/2018 7:46,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,525 EAST   14 STREET,EAST   14 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:46,06 MANHATTAN,MANHATTAN,990049,205202,Unspecified,MANHATTAN,,,,,,,,40.72990687,-73.9790768,"(40.72990686822996, -73.97907679850498)"
40514055,10/10/2018 7:13,10/12/2018 8:02,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10003,200 EAST   15 STREET,EAST   15 STREET,3 AVE,RUTHERFORD PL,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:02,06 MANHATTAN,MANHATTAN,987962,206670,Unspecified,MANHATTAN,,,,,,,,40.73393729,-73.98660603,"(40.73393729006337, -73.98660603184896)"
40513759,10/10/2018 20:14,10/12/2018 8:12,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10010,420 EAST   23 STREET,EAST   23 STREET,1 AVE,ASSER LEVY PL,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:12,06 MANHATTAN,MANHATTAN,990399,207598,Unspecified,MANHATTAN,,,,,,,,40.73648306,-73.97781178,"(40.73648306264542, -73.97781178409578)"
40513758,10/10/2018 9:26,10/12/2018 8:15,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10010,370 1 AVENUE,1 AVENUE,E 21 ST,E 22 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:15,06 MANHATTAN,MANHATTAN,990079,207447,Unspecified,MANHATTAN,,,,,,,,40.73606882,-73.97896661,"(40.73606882164155, -73.97896661143264)"
40513550,10/10/2018 10:07,10/12/2018 8:14,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,10003,9 EAST   16 STREET,EAST   16 STREET,5 AVE,UNION SQUARE W,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:14,05 MANHATTAN,MANHATTAN,986397,207848,Unspecified,MANHATTAN,,,,,,,,40.73717113,-73.99225263,"(40.73717112776508, -73.99225262790051)"
40513440,10/10/2018 20:40,10/12/2018 8:13,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,450 EAST   20 STREET,EAST   20 STREET,BEND,20 STREET LOOP,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:13,06 MANHATTAN,MANHATTAN,990292,206752,Unspecified,MANHATTAN,,,,,,,,40.73416108,-73.97819865,"(40.73416107510964, -73.97819864550738)"
40513302,10/10/2018 16:24,10/12/2018 8:00,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10016,200 EAST   33 STREET,EAST   33 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 8:00,06 MANHATTAN,MANHATTAN,990270,210667,Unspecified,MANHATTAN,,,,,,,,40.74490679,-73.97827452,"(40.744906792889005, -73.97827452453438)"
40513111,10/10/2018 17:26,10/12/2018 7:52,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,203 EAST    4 STREET,EAST    4 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:52,03 MANHATTAN,MANHATTAN,988671,203026,Unspecified,MANHATTAN,,,,,,,,40.72393507,-73.98405015,"(40.7239350741695, -73.98405014923779)"
40512992,10/10/2018 9:19,10/12/2018 7:54,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10464,97 EARLEY STREET,EARLEY STREET,DEAD END,CITY ISLAND AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 7:54,10 BRONX,BRONX,1043542,246472,Unspecified,BRONX,,,,,,,,40.84298481,-73.78570643,"(40.84298481180844, -73.78570642571613)"
40512714,10/10/2018 20:21,10/12/2018 7:55,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10009,280 1 AVENUE,1 AVENUE,E 16 ST,E 17 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:55,06 MANHATTAN,MANHATTAN,989437,206287,Unspecified,MANHATTAN,,,,,,,,40.73288531,-73.9812841,"(40.732885307244445, -73.9812841012288)"
40512713,10/10/2018 13:10,10/12/2018 7:50,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,151 WEST  123 STREET,WEST  123 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:50,10 MANHATTAN,MANHATTAN,998684,233323,Unspecified,MANHATTAN,,,,,,,,40.80708181,-73.94786072,"(40.807081813483045, -73.94786072176363)"
40512712,10/10/2018 14:13,10/12/2018 7:57,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,10027,1 WEST  127 STREET,WEST  127 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:57,10 MANHATTAN,MANHATTAN,1000366,233629,Unspecified,MANHATTAN,,,,,,,,40.80791879,-73.94178418,"(40.80791879074063, -73.9417841771661)"
40512406,10/10/2018 11:39,10/12/2018 7:59,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,117 WEST  123 STREET,WEST  123 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 7:59,10 MANHATTAN,MANHATTAN,998865,233223,Unspecified,MANHATTAN,,,,,,,,40.80680704,-73.94720712,"(40.806807043588385, -73.94720712159923)"
40512219,10/10/2018 6:06,10/11/2018 10:05,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10010,155 EAST   23 STREET,EAST   23 STREET,LEXINGTON AVE,3 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/11/2018 10:05,06 MANHATTAN,MANHATTAN,988643,208612,Unspecified,MANHATTAN,,,,,,,,40.73926729,-73.98414752,"(40.73926728804823, -73.98414751909131)"
40512150,10/10/2018 20:24,10/12/2018 7:42,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10472,1689 WATSON AVENUE,WATSON AVENUE,FTELEY AVE,CROES AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 7:42,09 BRONX,BRONX,1020040,240641,Unspecified,BRONX,,,,,,,,40.82710695,-73.87067847,"(40.8271069481648, -73.87067847233124)"
